player,born,nation,positions,team_count,league_count,season_count,teams,leagues,seasons,player_id,matched_name,match_type,matched_flag,join_player,born_int
Aaron Ciammaglichella,2005.0,ITA,MF,1,1,2,Torino,ITA-Serie A,"2022-23, 2023-24",724108.0,Aaron Ciammaglichella,exact_name_plus_birth_year,True,aaron ciammaglichella,2005
Aaron Connolly,2000.0,IRL,"FW, FW,MF",1,1,3,Brighton,ENG-Premier League,"2019-20, 2020-21, 2021-22",434207.0,Aaron Connolly,exact_name_plus_birth_year,True,aaron connolly,2000
Aaron Cresswell,1989.0,ENG,DF,1,1,6,West Ham United,ENG-Premier League,"2018-19, 2019-20, 2020-21, 2021-22, 2022-23, 2023-24",92571.0,Aaron Cresswell,exact_name_plus_birth_year,True,aaron cresswell,1989
Aaron Herzog,1998.0,GER,MF,1,1,1,Gladbach,GER-Bundesliga,2019-20,276566.0,Aaron Herzog,exact_name_plus_birth_year,True,aaron herzog,1998
Aaron Hickey,2002.0,SCO,"DF, DF,MF, MF,DF",2,2,4,"Bologna, Brentford","ENG-Premier League, ITA-Serie A","2020-21, 2021-22, 2022-23, 2023-24",591949.0,Aaron Hickey,exact_name_plus_birth_year,True,aaron hickey,2002
Aaron Kamardin,2002.0,COM,DF,1,1,1,Marseille,FRA-Ligue 1,2020-21,557609.0,Aaron Kamardin,exact_name_plus_birth_year,True,aaron kamardin,2002
Aaron Lennon,1987.0,ENG,"MF, MF,FW",1,1,3,Burnley,ENG-Premier League,"2018-19, 2019-20, 2021-22",14221.0,Aaron Lennon,exact_name_plus_birth_year,True,aaron lennon,1987
Aaron Leya Iseka,1997.0,BEL,FW,2,1,3,"Metz, Toulouse",FRA-Ligue 1,"2018-19, 2019-20, 2020-21",289587.0,Aaron Leya Iseka,exact_name_plus_birth_year,True,aaron leya iseka,1997
Aaron Malouda,2005.0,FRA,FW,1,1,1,Lille,FRA-Ligue 1,2023-24,974996.0,Aaron Malouda,exact_name_plus_birth_year,True,aaron malouda,2005
Aaron Mooy,1990.0,AUS,"MF, MF,FW",2,1,2,"Brighton, Huddersfield Town",ENG-Premier League,"2018-19, 2019-20",123951.0,Aaron Mooy,exact_name_plus_birth_year,True,aaron mooy,1990
Aaron Ramsdale,1998.0,ENG,GK,3,1,5,"Arsenal, Bournemouth, Sheffield United",ENG-Premier League,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",427568.0,Aaron Ramsdale,exact_name_plus_birth_year,True,aaron ramsdale,1998
Aaron Ramsey,1990.0,WAL,"MF, MF,FW",3,3,5,"Arsenal, Juventus, Nice","ENG-Premier League, FRA-Ligue 1, ITA-Serie A","2018-19, 2019-20, 2020-21, 2021-22, 2022-23",50057.0,Aaron Ramsey,exact_name_plus_birth_year,True,aaron ramsey,1990
Aaron Ramsey,2003.0,ENG,MF,2,1,2,"Aston Villa, Burnley",ENG-Premier League,"2021-22, 2023-24",646658.0,Aaron Ramsey,exact_name_plus_birth_year,True,aaron ramsey,2003
Aaron Rowe,2000.0,ENG,MF,1,1,1,Huddersfield Town,ENG-Premier League,2018-19,657994.0,Aaron Rowe,exact_name_plus_birth_year,True,aaron rowe,2000
Aaron Seydel,1996.0,GER,FW,1,1,1,Darmstadt 98,GER-Bundesliga,2023-24,187499.0,Aaron Seydel,exact_name_plus_birth_year,True,aaron seydel,1996
Aaron Wan-Bissaka,1997.0,COD,"DF, DF,MF",2,1,6,"Crystal Palace, Manchester Utd",ENG-Premier League,"2018-19, 2019-20, 2020-21, 2021-22, 2022-23, 2023-24",477758.0,Aaron Wan-Bissaka,exact_name_plus_birth_year,True,aaron wan-bissaka,1997
Aaron Zehnter,2004.0,GER,MF,1,1,1,Augsburg,GER-Bundesliga,2022-23,730484.0,Aaron Zehnter,exact_name_plus_birth_year,True,aaron zehnter,2004
Aarón Escandell,1995.0,ESP,GK,2,1,4,"Granada, Las Palmas",ESP-La Liga,"2019-20, 2020-21, 2021-22, 2023-24",284430.0,Aarón Escandell,exact_name_plus_birth_year,True,aarón escandell,1995
Aarón Martín,1997.0,ESP,"DF, DF,MF, MF, MF,DF",3,3,6,"Celta Vigo, Genoa, Mainz 05","ESP-La Liga, GER-Bundesliga, ITA-Serie A","2018-19, 2019-20, 2020-21, 2021-22, 2022-23, 2023-24",251878.0,Aarón Martín,exact_name_plus_birth_year,True,aarón martín,1997
Abakar Sylla,2002.0,CIV,DF,1,1,1,Strasbourg,FRA-Ligue 1,2023-24,962555.0,Abakar Sylla,exact_name_plus_birth_year,True,abakar sylla,2002
Abass Issah,1998.0,GHA,"FW,MF",1,1,2,Mainz 05,GER-Bundesliga,"2018-19, 2020-21",,,,False,abass issah,1998
Abdallah Ali Mohamed,1999.0,COM,DF,1,1,2,Marseille,FRA-Ligue 1,"2018-19, 2019-20",,,,False,abdallah ali mohamed,1999
Abdallah N'dour,1993.0,SEN,"MF,DF",1,1,2,Strasbourg,FRA-Ligue 1,"2018-19, 2019-20",,,,False,abdallah n'dour,1993
Abdallah Sima,2001.0,SEN,FW,1,1,1,Angers,FRA-Ligue 1,2022-23,776798.0,Abdallah Sima,exact_name_plus_birth_year,True,abdallah sima,2001
Abdallahi Mahmoud,2000.0,MTN,MF,1,1,2,Alavés,ESP-La Liga,"2019-20, 2020-21",615636.0,Abdallahi Mahmoud,exact_name_plus_birth_year,True,abdallahi mahmoud,2000
Abde Ezzalzouli,2001.0,MAR,"FW, FW,MF, MF",3,1,3,"Barcelona, Osasuna, Real Betis",ESP-La Liga,"2021-22, 2022-23, 2023-24",724520.0,Abde Ezzalzouli,exact_name_plus_birth_year,True,abde ezzalzouli,2001
Abde Rebbach,1998.0,ALG,MF,1,1,1,Alavés,ESP-La Liga,2023-24,718034.0,Abde Rebbach,exact_name_plus_birth_year,True,abde rebbach,1998
Abdel Abqar,1999.0,MAR,DF,1,1,3,Alavés,ESP-La Liga,"2020-21, 2021-22, 2023-24",559979.0,Abdel Abqar,exact_name_plus_birth_year,True,abdel abqar,1999
Abdel Jalil Medioub,1997.0,ALG,DF,1,1,1,Bordeaux,FRA-Ligue 1,2021-22,,,,False,abdel jalil medioub,1997
Abdel Malik Hsissane,1991.0,FRA,MF,1,1,1,Nîmes,FRA-Ligue 1,2018-19,184145.0,Abdel Malik Hsissane,exact_name_plus_birth_year,True,abdel malik hsissane,1991
Abdelhamid Sabiri,1996.0,MAR,"FW, MF, MF,FW",4,3,5,"Fiorentina, Huddersfield Town, Paderborn 07, Sampdoria","ENG-Premier League, GER-Bundesliga, ITA-Serie A","2018-19, 2019-20, 2021-22, 2022-23, 2023-24",340394.0,Abdelhamid Sabiri,exact_name_plus_birth_year,True,abdelhamid sabiri,1996
Abdellah Baallal,2004.0,MAR,"FW, MF",1,1,1,Clermont Foot,FRA-Ligue 1,2023-24,1028125.0,Abdellah Baallal,exact_name_plus_birth_year,True,abdellah baallal,2004
Abdellah Raihani,2004.0,MAR,FW,1,1,2,Atlético Madrid,ESP-La Liga,"2022-23, 2023-24",,,,False,abdellah raihani,2004
Abdou Diallo,1996.0,SEN,"DF, DF,MF",3,2,5,"Dortmund, Paris Saint-Germain, RB Leipzig","FRA-Ligue 1, GER-Bundesliga","2018-19, 2019-20, 2020-21, 2021-22, 2022-23",229005.0,Abdou Diallo,exact_name_plus_birth_year,True,abdou diallo,1996
Abdou Harroui,1998.0,NED,MF,2,1,3,"Frosinone, Sassuolo",ITA-Serie A,"2021-22, 2022-23, 2023-24",416386.0,Abdou Harroui,exact_name_plus_birth_year,True,abdou harroui,1998
Abdou Lahat Diakhate,1998.0,SEN,MF,1,1,1,Parma,ITA-Serie A,2018-19,,,,False,abdou lahat diakhate,1998
Abdoul Bane,2001.0,ITA,DF,1,1,1,Parma,ITA-Serie A,2020-21,,,,False,abdoul bane,2001
Abdoul Kader Bamba,1994.0,FRA,MF,1,1,4,Nantes,FRA-Ligue 1,"2019-20, 2020-21, 2022-23, 2023-24",560725.0,Abdoul Kader Bamba,exact_name_plus_birth_year,True,abdoul kader bamba,1994
Abdoul Koné,2005.0,FRA,DF,1,1,1,Reims,FRA-Ligue 1,2023-24,1130445.0,Abdoul Koné,exact_name_plus_birth_year,True,abdoul koné,2005
Abdoulay Diaby,1991.0,MLI,"FW,MF",1,1,1,Getafe,ESP-La Liga,2020-21,148396.0,Abdoulay Diaby,exact_name_plus_birth_year,True,abdoulay diaby,1991
Abdoulaye Ba,1991.0,SEN,DF,1,1,1,Rayo Vallecano,ESP-La Liga,2018-19,106837.0,Abdoulaye Ba,exact_name_plus_birth_year,True,abdoulaye ba,1991
Abdoulaye Bakayoko,2002.0,FRA,DF,1,1,2,Saint-Étienne,FRA-Ligue 1,"2020-21, 2021-22",855615.0,Abdoulaye Bakayoko,exact_name_plus_birth_year,True,abdoulaye bakayoko,2002
Abdoulaye Bamba,1990.0,CIV,"DF, DF,MF, MF,DF",1,1,5,Angers,FRA-Ligue 1,"2018-19, 2019-20, 2020-21, 2021-22, 2022-23",62351.0,Abdoulaye Bamba,exact_name_plus_birth_year,True,abdoulaye bamba,1990
Abdoulaye Dabo,2001.0,FRA,"MF,FW",1,1,1,Nantes,FRA-Ligue 1,2018-19,463611.0,Abdoulaye Dabo,exact_name_plus_birth_year,True,abdoulaye dabo,2001
Abdoulaye Diallo,1992.0,SEN,GK,1,1,1,Rennes,FRA-Ligue 1,2018-19,126681.0,Abdoulaye Diallo,exact_name_plus_birth_year,True,abdoulaye diallo,1992
Abdoulaye Doucouré,1993.0,MLI,MF,2,1,6,"Everton, Watford",ENG-Premier League,"2018-19, 2019-20, 2020-21, 2021-22, 2022-23, 2023-24",127187.0,Abdoulaye Doucouré,exact_name_plus_birth_year,True,abdoulaye doucouré,1993
Abdoulaye Kamara,2004.0,GUI,MF,1,1,1,Dortmund,GER-Bundesliga,2022-23,718232.0,Abdoulaye Kamara,exact_name_plus_birth_year,True,abdoulaye kamara,2004
Abdoulaye Niakhate Ndiaye,2002.0,SEN,DF,1,1,1,Lyon,FRA-Ligue 1,2020-21,,,,False,abdoulaye niakhate ndiaye,2002
Abdoulaye Ousmane,2000.0,MTN,DF,2,1,2,"Lille, Strasbourg",FRA-Ligue 1,"2020-21, 2022-23",689091.0,Abdoulaye Ousmane,exact_name_plus_birth_year,True,abdoulaye ousmane,2000
Abdoulaye Sidibé,2002.0,FRA,FW,1,1,1,Saint-Étienne,FRA-Ligue 1,2020-21,639758.0,Abdoulaye Sidibé,exact_name_plus_birth_year,True,abdoulaye sidibé,2002
Abdoulaye Sylla,2000.0,GUI,DF,1,1,2,Nantes,FRA-Ligue 1,"2020-21, 2021-22",807648.0,Abdoulaye Sylla,exact_name_plus_birth_year,True,abdoulaye sylla,2000
Abdoulaye Touré,1994.0,GUI,MF,3,2,5,"Genoa, Le Havre, Nantes","FRA-Ligue 1, ITA-Serie A","2018-19, 2019-20, 2020-21, 2021-22, 2023-24",181382.0,Abdoulaye Touré,exact_name_plus_birth_year,True,abdoulaye touré,1994
Abdoullaye Traoré,2000.0,BFA,MF,1,1,1,Hellas Verona,ITA-Serie A,2019-20,,,,False,abdoullaye traoré,2000
Abdourahmane Barry,2000.0,GUI,DF,1,1,1,Greuther Fürth,GER-Bundesliga,2021-22,536472.0,Abdourahmane Barry,exact_name_plus_birth_year,True,abdourahmane barry,2000
Abdu Conté,1998.0,POR,"DF,MF",1,1,2,Troyes,FRA-Ligue 1,"2021-22, 2022-23",337798.0,Abdu Conté,exact_name_plus_birth_year,True,abdu conté,1998
Abdukodir Khusanov,2004.0,UZB,DF,1,1,1,Lens,FRA-Ligue 1,2023-24,763079.0,Abdukodir Khusanov,exact_name_plus_birth_year,True,abdukodir khusanov,2004
Abdul Majeed Waris,1991.0,GHA,"FW,MF, MF,FW",2,1,4,"Nantes, Strasbourg",FRA-Ligue 1,"2018-19, 2019-20, 2020-21, 2021-22",,,,False,abdul majeed waris,1991
Abdul Mumin,1998.0,GHA,DF,1,1,2,Rayo Vallecano,ESP-La Liga,"2022-23, 2023-24",451801.0,Abdul Mumin,exact_name_plus_birth_year,True,abdul mumin,1998
Abdón Prats,1992.0,ESP,FW,1,1,4,Mallorca,ESP-La Liga,"2019-20, 2021-22, 2022-23, 2023-24",177452.0,Abdón Prats,exact_name_plus_birth_year,True,abdón prats,1992
Abel Ruiz,2000.0,ESP,FW,1,1,1,Barcelona,ESP-La Liga,2018-19,340376.0,Abel Ruiz,exact_name_plus_birth_year,True,abel ruiz,2000
Ablie Jallow,1998.0,GAM,"MF,FW",1,1,1,Metz,FRA-Ligue 1,2023-24,366045.0,Ablie Jallow,exact_name_plus_birth_year,True,ablie jallow,1998
Abner,2000.0,BRA,DF,1,1,2,Real Betis,ESP-La Liga,"2022-23, 2023-24",646402.0,Abner,exact_name_plus_birth_year,True,abner,2000
Abou Lô,2000.0,SEN,"MF,DF",1,1,1,Metz,FRA-Ligue 1,2023-24,,,,False,abou lô,2000
Abou Ouattara,1999.0,BFA,MF,1,1,1,Lille,FRA-Ligue 1,2019-20,443263.0,Abou Ouattara,exact_name_plus_birth_year,True,abou ouattara,1999
Aboubacar Ali,2006.0,COM,FW,1,1,1,Strasbourg,FRA-Ligue 1,2023-24,1010855.0,Aboubacar Ali,exact_name_plus_birth_year,True,aboubacar ali,2006
Aboubakar Kamara,1995.0,MTN,"FW,MF, MF,FW",2,2,2,"Dijon, Fulham","ENG-Premier League, FRA-Ligue 1","2018-19, 2020-21",290951.0,Aboubakar Kamara,exact_name_plus_birth_year,True,aboubakar kamara,1995
Aboubakar Sidibé,1996.0,FRA,FW,1,1,1,Clermont Foot,FRA-Ligue 1,2021-22,503518.0,Aboubakar Sidibé,exact_name_plus_birth_year,True,aboubakar sidibé,1996
Abraham Rando,2001.0,ESP,DF,1,1,1,Villarreal,ESP-La Liga,2023-24,,,,False,abraham rando,2001
Abu Kamara,2003.0,ENG,"FW,MF",1,1,1,Norwich City,ENG-Premier League,2021-22,696764.0,Abu Kamara,exact_name_plus_birth_year,True,abu kamara,2003
Abukar Mohamed,1999.0,FIN,MF,1,1,1,Lazio,ITA-Serie A,2018-19,363714.0,Abukar Mohamed,exact_name_plus_birth_year,True,abukar mohamed,1999
Achraf Dari,1999.0,MAR,DF,1,1,2,Brest,FRA-Ligue 1,"2022-23, 2023-24",566823.0,Achraf Dari,exact_name_plus_birth_year,True,achraf dari,1999
Achraf Hakimi,1998.0,MAR,"DF, DF,MF, MF, MF,DF",3,3,6,"Dortmund, Inter, Paris Saint-Germain","FRA-Ligue 1, GER-Bundesliga, ITA-Serie A","2018-19, 2019-20, 2020-21, 2021-22, 2022-23, 2023-24",398073.0,Achraf Hakimi,exact_name_plus_birth_year,True,achraf hakimi,1998
Achraf Laâziri,2003.0,MAR,DF,1,1,1,Lyon,FRA-Ligue 1,2022-23,902862.0,Achraf Laâziri,exact_name_plus_birth_year,True,achraf laâziri,2003
Adalberto Peñaranda,1997.0,VEN,"FW,MF",1,1,2,Watford,ENG-Premier League,"2018-19, 2019-20",308801.0,Adalberto Peñaranda,exact_name_plus_birth_year,True,adalberto peñaranda,1997
Adam Abeddou,1996.0,FRA,MF,1,1,1,Lens,FRA-Ligue 1,2023-24,963835.0,Adam Abeddou,exact_name_plus_birth_year,True,adam abeddou,1996
Adam Armstrong,1997.0,ENG,"FW, MF,FW",1,1,2,Southampton,ENG-Premier League,"2021-22, 2022-23",250426.0,Adam Armstrong,exact_name_plus_birth_year,True,adam armstrong,1997
Adam Aznou,2006.0,MAR,DF,1,1,1,Bayern Munich,GER-Bundesliga,2023-24,938146.0,Adam Aznou,exact_name_plus_birth_year,True,adam aznou,2006
Adam Bodzek,1985.0,GER,"MF, MF,DF",1,1,2,Düsseldorf,GER-Bundesliga,"2018-19, 2019-20",20778.0,Adam Bodzek,exact_name_plus_birth_year,True,adam bodzek,1985
Adam Buksa,1996.0,POL,FW,1,1,1,Lens,FRA-Ligue 1,2022-23,267160.0,Adam Buksa,exact_name_plus_birth_year,True,adam buksa,1996
Adam Davies,1992.0,WAL,GK,1,1,1,Sheffield United,ENG-Premier League,2023-24,121254.0,Adam Davies,exact_name_plus_birth_year,True,adam davies,1992
Adam Forshaw,1991.0,ENG,MF,1,1,2,Leeds United,ENG-Premier League,"2021-22, 2022-23",121257.0,Adam Forshaw,exact_name_plus_birth_year,True,adam forshaw,1991
Adam Hložek,2002.0,CZE,"FW,MF, MF,FW",1,1,2,Leverkusen,GER-Bundesliga,"2022-23, 2023-24",552057.0,Adam Hlozek,exact_name_plus_birth_year,True,adam hložek,2002
Adam Idah,2001.0,IRL,"FW, FW,MF",1,1,2,Norwich City,ENG-Premier League,"2019-20, 2021-22",434223.0,Adam Idah,exact_name_plus_birth_year,True,adam idah,2001
Adam Jakubech,1997.0,SVK,GK,1,1,4,Lille,FRA-Ligue 1,"2018-19, 2021-22, 2022-23, 2023-24",258267.0,Adam Jakubech,exact_name_plus_birth_year,True,adam jakubech,1997
Adam Lallana,1988.0,ENG,"MF, MF,FW",2,1,6,"Brighton, Liverpool",ENG-Premier League,"2018-19, 2019-20, 2020-21, 2021-22, 2022-23, 2023-24",43530.0,Adam Lallana,exact_name_plus_birth_year,True,adam lallana,1988
Adam Marušić,1992.0,MNE,"DF, DF,MF, MF, MF,DF",1,1,6,Lazio,ITA-Serie A,"2018-19, 2019-20, 2020-21, 2021-22, 2022-23, 2023-24",239802.0,Adam Marusic,exact_name_plus_birth_year,True,adam marušić,1992
Adam Masina,1994.0,MAR,"DF, DF,MF, MF",3,2,5,"Torino, Udinese, Watford","ENG-Premier League, ITA-Serie A","2018-19, 2019-20, 2021-22, 2022-23, 2023-24",286949.0,Adam Masina,exact_name_plus_birth_year,True,adam masina,1994
Adam Obert,2002.0,SVK,DF,1,1,2,Cagliari,ITA-Serie A,"2021-22, 2023-24",568333.0,Adam Obert,exact_name_plus_birth_year,True,adam obert,2002
Adam Oudjani,2001.0,ALG,MF,1,1,1,Lens,FRA-Ligue 1,2020-21,676525.0,Adam Oudjani,exact_name_plus_birth_year,True,adam oudjani,2001
Adam Ounas,1996.0,ALG,"FW, FW,MF, MF, MF,FW",5,2,6,"Cagliari, Crotone, Lille, Napoli, Nice","FRA-Ligue 1, ITA-Serie A","2018-19, 2019-20, 2020-21, 2021-22, 2022-23, 2023-24",400485.0,Adam Ounas,exact_name_plus_birth_year,True,adam ounas,1996
Adam Smith,1991.0,ENG,"DF, DF,MF",1,1,4,Bournemouth,ENG-Premier League,"2018-19, 2019-20, 2022-23, 2023-24",61841.0,Adam Smith,exact_name_plus_birth_year,True,adam smith,1991
Adam Webster,1995.0,ENG,DF,1,1,5,Brighton,ENG-Premier League,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",212847.0,Adam Webster,exact_name_plus_birth_year,True,adam webster,1995
Adam Wharton,2004.0,ENG,MF,1,1,1,Crystal Palace,ENG-Premier League,2023-24,744149.0,Adam Wharton,exact_name_plus_birth_year,True,adam wharton,2004
Adam Zreľák,1994.0,SVK,FW,1,1,1,Nürnberg,GER-Bundesliga,2018-19,261155.0,Adam Zrelak,exact_name_plus_birth_year,True,adam zreľák,1994
Adama Bojang,2004.0,GAM,FW,1,1,1,Reims,FRA-Ligue 1,2023-24,1111912.0,Adama Bojang,exact_name_plus_birth_year,True,adama bojang,2004
Adama Diakhaby,1996.0,FRA,"FW,MF",1,1,1,Huddersfield Town,ENG-Premier League,2018-19,453594.0,Adama Diakhaby,exact_name_plus_birth_year,True,adama diakhaby,1996
Adama Mbengue,1993.0,SEN,"DF,MF",1,1,1,Caen,FRA-Ligue 1,2018-19,230066.0,Adama Mbengue,exact_name_plus_birth_year,True,adama mbengue,1993
Adama Soumaoro,1992.0,FRA,DF,3,2,6,"Bologna, Genoa, Lille","FRA-Ligue 1, ITA-Serie A","2018-19, 2019-20, 2020-21, 2021-22, 2022-23, 2023-24",126673.0,Adama Soumaoro,exact_name_plus_birth_year,True,adama soumaoro,1992
Adama Traoré,1995.0,MLI,"FW,MF, MF,FW",2,1,3,"Metz, Monaco",FRA-Ligue 1,"2018-19, 2019-20, 2020-21",262608.0,Adama Traoré,manual_resolution_club_history,True,adama traoré,1995
Adama Traoré,1996.0,ESP,"FW, FW,MF, MF, MF,FW",3,2,6,"Barcelona, Fulham, Wolves","ENG-Premier League, ESP-La Liga","2018-19, 2019-20, 2020-21, 2021-22, 2022-23, 2023-24",204103.0,Adama Traoré,exact_name_plus_birth_year,True,adama traoré,1996
Aday,1987.0,ESP,"MF,DF",1,1,1,Girona,ESP-La Liga,2018-19,,,,False,aday,1987
Adel Mahamoud,2003.0,COM,FW,1,1,1,Nantes,FRA-Ligue 1,2023-24,952436.0,Adel Mahamoud,exact_name_plus_birth_year,True,adel mahamoud,2003
Adem Ljajić,1991.0,SRB,"FW,MF",1,1,1,Torino,ITA-Serie A,2018-19,69374.0,Adem Ljajic,exact_name_plus_birth_year,True,adem ljajić,1991
Ademola Lookman,1997.0,NGA,"FW, FW,MF, MF, MF,FW",5,3,6,"Atalanta, Everton, Fulham, Leicester City, RB Leipzig","ENG-Premier League, GER-Bundesliga, ITA-Serie A","2018-19, 2019-20, 2020-21, 2021-22, 2022-23, 2023-24",406040.0,Ademola Lookman,exact_name_plus_birth_year,True,ademola lookman,1997
Ademola Ola-Adebomi,2004.0,ENG,FW,1,1,1,Crystal Palace,ENG-Premier League,2023-24,,,,False,ademola ola-adebomi,2004
Adil Aouchiche,2002.0,ALG,"MF, MF,FW",3,1,4,"Lorient, Paris Saint-Germain, Saint-Étienne",FRA-Ligue 1,"2019-20, 2020-21, 2021-22, 2022-23",569385.0,Adil Aouchiche,exact_name_plus_birth_year,True,adil aouchiche,2002
Adil Ben Achour,2002.0,FRA,FW,1,1,1,Montpellier,FRA-Ligue 1,2020-21,806306.0,Adil Ben Achour,exact_name_plus_birth_year,True,adil ben achour,2002
Adil Rami,1985.0,FRA,DF,2,1,3,"Marseille, Troyes",FRA-Ligue 1,"2018-19, 2021-22, 2022-23",51118.0,Adil Rami,exact_name_plus_birth_year,True,adil rami,1985
Adil Taoui,2001.0,FRA,FW,1,1,1,Toulouse,FRA-Ligue 1,2019-20,463617.0,Adil Taoui,exact_name_plus_birth_year,True,adil taoui,2001
Admir Mehmedi,1991.0,SUI,"FW,MF, MF,FW",1,1,4,Wolfsburg,GER-Bundesliga,"2018-19, 2019-20, 2020-21, 2021-22",66058.0,Admir Mehmedi,exact_name_plus_birth_year,True,admir mehmedi,1991
Adnan Januzaj,1995.0,BEL,"FW,MF, MF, MF,FW",2,1,6,"Real Sociedad, Sevilla",ESP-La Liga,"2018-19, 2019-20, 2020-21, 2021-22, 2022-23, 2023-24",177847.0,Adnan Januzaj,exact_name_plus_birth_year,True,adnan januzaj,1995
Ado Onaiwu,1995.0,JPN,"FW,MF",1,1,1,Toulouse,FRA-Ligue 1,2022-23,308133.0,Ado Onaiwu,exact_name_plus_birth_year,True,ado onaiwu,1995
Adolfo Gaich,1999.0,ARG,FW,2,1,2,"Benevento, Hellas Verona",ITA-Serie A,"2020-21, 2022-23",608469.0,Adolfo Gaich,exact_name_plus_birth_year,True,adolfo gaich,1999
Adri Bosch,2001.0,ESP,DF,1,1,1,Granada,ESP-La Liga,2023-24,,,,False,adri bosch,2001
Adri Embarba,1992.0,ESP,"FW,MF, MF,FW",3,1,5,"Almería, Espanyol, Rayo Vallecano",ESP-La Liga,"2018-19, 2019-20, 2021-22, 2022-23, 2023-24",,,,False,adri embarba,1992
Adrian Beck,1997.0,GER,MF,1,1,1,Heidenheim,GER-Bundesliga,2023-24,273669.0,Adrian Beck,exact_name_plus_birth_year,True,adrian beck,1997
Adrian Bernabe,2001.0,ESP,MF,1,1,1,Manchester City,ENG-Premier League,2020-21,466802.0,Adrián Bernabé,exact_name_plus_birth_year,True,adrian bernabe,2001
Adrian Blake,2005.0,ENG,"FW,MF",1,1,1,Watford,ENG-Premier League,2021-22,875581.0,Adrian Blake,exact_name_plus_birth_year,True,adrian blake,2005
Adrian Cannavaro,2004.0,ITA,DF,1,1,1,Sassuolo,ITA-Serie A,2022-23,808582.0,Adrian Cannavaro,exact_name_plus_birth_year,True,adrian cannavaro,2004
Adrian Fein,1999.0,GER,MF,2,1,2,"Bayern Munich, Greuther Fürth",GER-Bundesliga,"2020-21, 2021-22",379979.0,Adrian Fein,exact_name_plus_birth_year,True,adrian fein,1999
Adrian Grbić,1996.0,AUT,"FW, FW,MF",1,1,4,Lorient,FRA-Ligue 1,"2020-21, 2021-22, 2022-23, 2023-24",167342.0,Adrian Grbic,exact_name_plus_birth_year,True,adrian grbić,1996
Adrian Mariappa,1986.0,JAM,DF,1,1,2,Watford,ENG-Premier League,"2018-19, 2019-20",38145.0,Adrian Mariappa,exact_name_plus_birth_year,True,adrian mariappa,1986
Adrian Niño,2004.0,ESP,FW,1,1,1,Atlético Madrid,ESP-La Liga,2023-24,926849.0,Adrián Niño,exact_name_plus_birth_year,True,adrian niño,2004
Adrian Oeynhausen,2002.0,GER,MF,1,1,1,Paderborn 07,GER-Bundesliga,2019-20,598281.0,Adrian Oeynhausen,exact_name_plus_birth_year,True,adrian oeynhausen,2002
Adrian Quintela,2001.0,ESP,GK,1,1,1,Rayo Vallecano,ESP-La Liga,2021-22,548186.0,Adrián Quintela,exact_name_plus_birth_year,True,adrian quintela,2001
Adrian Rodriguez,2000.0,ESP,GK,1,1,2,Alavés,ESP-La Liga,"2021-22, 2023-24",608382.0,Adrián Rodríguez,exact_name_plus_birth_year,True,adrian rodriguez,2000
Adrian Stanilewicz,2000.0,POL,"DF,MF",1,1,1,Leverkusen,GER-Bundesliga,2019-20,389078.0,Adrian Stanilewicz,exact_name_plus_birth_year,True,adrian stanilewicz,2000
Adrian Šemper,1998.0,CRO,GK,2,1,2,"Chievo, Genoa",ITA-Serie A,"2018-19, 2021-22",317057.0,Adrian Semper,exact_name_plus_birth_year,True,adrian šemper,1998
Adrien Hunou,1994.0,FRA,"FW, FW,MF, MF,FW",2,1,4,"Angers, Rennes",FRA-Ligue 1,"2018-19, 2019-20, 2020-21, 2022-23",203507.0,Adrien Hunou,exact_name_plus_birth_year,True,adrien hunou,1994
Adrien Lebeau,1999.0,FRA,MF,2,1,3,"Brest, Strasbourg",FRA-Ligue 1,"2019-20, 2020-21, 2023-24",395674.0,Adrien Lebeau,exact_name_plus_birth_year,True,adrien lebeau,1999
Adrien Louveau,2000.0,FRA,MF,1,1,3,Lens,FRA-Ligue 1,"2020-21, 2021-22, 2022-23",804817.0,Adrien Louveau,exact_name_plus_birth_year,True,adrien louveau,2000
Adrien Rabiot,1995.0,FRA,MF,2,2,6,"Juventus, Paris Saint-Germain","FRA-Ligue 1, ITA-Serie A","2018-19, 2019-20, 2020-21, 2021-22, 2022-23, 2023-24",182913.0,Adrien Rabiot,exact_name_plus_birth_year,True,adrien rabiot,1995
Adrien Silva,1989.0,POR,MF,3,3,4,"Leicester City, Monaco, Sampdoria","ENG-Premier League, FRA-Ligue 1, ITA-Serie A","2018-19, 2019-20, 2020-21, 2021-22",56810.0,Adrien Silva,exact_name_plus_birth_year,True,adrien silva,1989
Adrien Tameze,1994.0,CMR,"DF,MF, MF",4,2,6,"Atalanta, Hellas Verona, Nice, Torino","FRA-Ligue 1, ITA-Serie A","2018-19, 2019-20, 2020-21, 2021-22, 2022-23, 2023-24",157507.0,Adrien Tamèze,exact_name_plus_birth_year,True,adrien tameze,1994
Adrien Thomasson,1993.0,FRA,"FW,MF, MF, MF,FW",2,1,6,"Lens, Strasbourg",FRA-Ligue 1,"2018-19, 2019-20, 2020-21, 2021-22, 2022-23, 2023-24",215977.0,Adrien Thomasson,exact_name_plus_birth_year,True,adrien thomasson,1993
