player,born,nation,positions,team_count,league_count,season_count,teams,leagues,seasons,player_id,matched_name,match_type,matched_flag,join_player,born_int
Oscar Cortés,2003.0,COL,MF,1,1,1,Lens,FRA-Ligue 1,2023-24,975689.0,Óscar Cortés,exact_name_plus_birth_year,True,oscar cortés,2003
Oscar Estupiñan,1996.0,COL,FW,1,1,1,Metz,FRA-Ligue 1,2023-24,388266.0,Óscar Estupiñán,exact_name_plus_birth_year,True,oscar estupiñan,1996
Oscar Fraulo,2003.0,DEN,MF,1,1,1,Gladbach,GER-Bundesliga,2022-23,610428.0,Oscar Fraulo,exact_name_plus_birth_year,True,oscar fraulo,2003
Oscar Hiljemark,1992.0,SWE,MF,1,1,1,Genoa,ITA-Serie A,2018-19,158810.0,Oscar Hiljemark,exact_name_plus_birth_year,True,oscar hiljemark,1992
Oscar Linnér,1997.0,SWE,GK,1,1,1,Arminia,GER-Bundesliga,2020-21,366974.0,Oscar Linnér,exact_name_plus_birth_year,True,oscar linnér,1997
Oscar Medina,,,GK,1,1,1,Alavés,ESP-La Liga,2021-22,,,,False,oscar medina,
Oscar Ureña,2003.0,DOM,MF,1,1,1,Girona,ESP-La Liga,2022-23,921734.0,Óscar Ureña,exact_name_plus_birth_year,True,oscar ureña,2003
Oscar Vilhelmsson,2003.0,SWE,FW,1,1,1,Darmstadt 98,GER-Bundesliga,2023-24,673071.0,Oscar Vilhelmsson,exact_name_plus_birth_year,True,oscar vilhelmsson,2003
Oscar Wendt,1985.0,SWE,"DF, DF,MF",1,1,3,Gladbach,GER-Bundesliga,"2018-19, 2019-20, 2020-21",19305.0,Oscar Wendt,exact_name_plus_birth_year,True,oscar wendt,1985
Oskar Buur,1998.0,DEN,"DF,MF",1,1,2,Wolves,ENG-Premier League,"2019-20, 2020-21",293283.0,Oskar Buur,exact_name_plus_birth_year,True,oskar buur,1998
Osman Bukari,1998.0,GHA,"MF,FW",1,1,1,Nantes,FRA-Ligue 1,2021-22,548650.0,Osman Bukari,exact_name_plus_birth_year,True,osman bukari,1998
Othmane Maamma,2005.0,MAR,FW,1,1,1,Montpellier,FRA-Ligue 1,2023-24,1081219.0,Othmane Maamma,exact_name_plus_birth_year,True,othmane maamma,2005
